Metodo;Fold;ACC
ResNet50_ReliefF_300_J48;4;0,8824
ResNet50_ReliefF_300_RBF;4;0,8529
ResNet50_ReliefF_300_LinearSVM;4;0,7941
ResNet50_ReliefF_300_MLP;4;0,7647
ResNet50_ReliefF_300_Logistic;4;0,7941
ResNet50_ReliefF_300_RandomForest;4;0,9118
ResNet50_ReliefF_300_Adaboost;4;0,7647
ResNet50_ReliefF_300_Gaussian;4;0,8824
ResNet50_ReliefF_300_J48;5;0,7647
ResNet50_ReliefF_300_RBF;5;0,9118
ResNet50_ReliefF_300_LinearSVM;5;0,8824
ResNet50_ReliefF_300_MLP;5;0,8824
ResNet50_ReliefF_300_Logistic;5;0,8529
ResNet50_ReliefF_300_RandomForest;5;0,9118
ResNet50_ReliefF_300_Adaboost;5;0,8824
ResNet50_ReliefF_300_Gaussian;5;0,7647
ResNet50_ReliefF_300_J48;6;0,8824
ResNet50_ReliefF_300_RBF;6;0,8824
ResNet50_ReliefF_300_LinearSVM;6;0,8824
ResNet50_ReliefF_300_MLP;6;0,8824
ResNet50_ReliefF_300_Logistic;6;0,8529
ResNet50_ReliefF_300_RandomForest;6;0,8824
ResNet50_ReliefF_300_Adaboost;6;0,7941
ResNet50_ReliefF_300_Gaussian;6;0,7941
ResNet50_ReliefF_300_J48;7;0,8529
ResNet50_ReliefF_300_RBF;7;0,8235
ResNet50_ReliefF_300_LinearSVM;7;0,8235
ResNet50_ReliefF_300_MLP;7;0,7059
ResNet50_ReliefF_300_Logistic;7;0,8235
ResNet50_ReliefF_300_RandomForest;7;0,8235
ResNet50_ReliefF_300_Adaboost;7;0,8529
ResNet50_ReliefF_300_Gaussian;7;0,8235
ResNet50_ReliefF_300_J48;8;0,9412
ResNet50_ReliefF_300_RBF;8;1
ResNet50_ReliefF_300_LinearSVM;8;0,9118
ResNet50_ReliefF_300_MLP;8;0,9412
ResNet50_ReliefF_300_Logistic;8;0,9118
ResNet50_ReliefF_300_RandomForest;8;0,9412
ResNet50_ReliefF_300_Adaboost;8;0,9412
ResNet50_ReliefF_300_Gaussian;8;0,8824
ResNet50_ReliefF_300_J48;9;0,8235
