FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
Xception+ResNet50_n_feat;ReliefF;No;300;MLP;0,8571;0,8571;0,9118;0,7647;0,7647;0,8824;0,8235;0,9412;0,8235;0,9118;0,8538;0,0574
Xception+ResNet50_n_feat;ReliefF;No;300;Logistic;0,9143;0,8571;0,9118;0,7647;0,9118;0,8529;0,8529;0,9412;0,8824;0,9118;0,8801;0,0482
Xception+ResNet50_n_feat;ReliefF;No;300;RandomForest;0,9143;0,9143;0,8529;0,8529;0,9412;0,9412;0,8824;0,9412;0,9118;0,9118;0,9064;0,0318
Xception+ResNet50_n_feat;ReliefF;No;300;Adaboost;0,9429;0,8571;0,8529;0,8235;0,9412;0,9118;0,8824;0,9412;0,9412;0,8824;0,8976;0,0419
Xception+ResNet50_n_feat;ReliefF;No;300;Gaussian;0,8857;0,8571;0,8824;0,7647;0,7941;0,8824;0,7647;0,8824;0,8529;0,8235;0,839;0,0465
VGG16+VGG19_n_feat;ReliefF;No;300;J48;0,7714;0,7143;0,7059;0,7941;0,7059;0,6471;0,7059;0,7059;0,8529;0,7059;0,7309;0,0556
VGG16+VGG19_n_feat;ReliefF;No;300;RBF;0,8;0,9143;0,8529;0,7941;0,8529;0,9118;0,9412;0,9412;0,9412;0,8824;0,8832;0,0534
VGG16+VGG19_n_feat;ReliefF;No;300;LinearSVM;0,7429;0,7714;0,7941;0,8235;0,8529;0,8529;0,8235;0,9412;0,9412;0,9412;0,8485;0,0686
VGG16+VGG19_n_feat;ReliefF;No;300;MLP;0,7429;0,8;0,7353;0,6765;0,6765;0,8235;0,7941;0,8235;0,8529;0,8529;0,7778;0,0631
VGG16+VGG19_n_feat;ReliefF;No;300;Logistic;0,7714;0,8286;0,8235;0,8529;0,8529;0,8529;0,8235;0,9412;0,9412;0,9412;0,8629;0,056
VGG16+VGG19_n_feat;ReliefF;No;300;RandomForest;0,8286;0,8857;0,7941;0,7941;0,7647;0,8529;0,8529;0,9118;0,9706;0,8824;0,8538;0,0588
VGG16+VGG19_n_feat;ReliefF;No;300;Adaboost;0,8;0,6857;0,8824;0,7941;0,7941;0,8235;0,7647;0,7941;0,9118;0,8235;0,8074;0,0585
VGG16+VGG19_n_feat;ReliefF;No;300;Gaussian;0,7429;0,8286;0,8529;0,5588;0,7647;0,9118;0,8235;0,8235;0,9412;0,8235;0,8071;0,0999
MobileNet+ResNet101_n_feat;ReliefF;No;250;J48;0,7429;0,6571;0,7353;0,7647;0,8235;0,6765;0,7941;0,8529;0,8529;0,8529;0,7753;0,0687
MobileNet+ResNet101_n_feat;ReliefF;No;250;RBF;0,8286;0,8857;0,8824;0,8824;0,8529;0,9412;0,9412;0,8824;0,9412;0,9706;0,9008;0,043
MobileNet+ResNet101_n_feat;ReliefF;No;250;LinearSVM;0,8571;0,8857;0,9118;0,8824;0,8235;0,8824;0,9118;0,9412;0,9706;0,8529;0,8919;0,0413
MobileNet+ResNet101_n_feat;ReliefF;No;250;MLP;0,8;0,8571;0,8529;0,8529;0,8235;0,9118;0,8824;0,8529;0,9412;0,8824;0,8657;0,0388
MobileNet+ResNet101_n_feat;ReliefF;No;250;Logistic;0,8857;0,8857;0,9118;0,9118;0,8235;0,9118;0,9118;0,9412;0,9706;0,8529;0,9007;0,0396
MobileNet+ResNet101_n_feat;ReliefF;No;250;RandomForest;0,8571;0,8286;0,8529;0,8824;0,8529;0,9118;0,9412;0,9706;0,9412;0,9118;0,895;0,0448
MobileNet+ResNet101_n_feat;ReliefF;No;250;Adaboost;0,8286;0,8857;0,7941;0,9118;0,8235;0,8235;0,9118;0,9412;0,8529;0,8235;0,8597;0,0469
MobileNet+ResNet101_n_feat;ReliefF;No;250;Gaussian;0,8286;0,8571;0,9118;0,8529;0,8529;0,8235;0,9118;0,8529;0,7647;0,8824;0,8539;0,0413
ResNet101+DenseNet169_n_feat;ReliefF;No;250;J48;0,6857;0,6571;0,7941;0,7647;0,7647;0,8235;0,7941;0,8529;0,8529;0,7353;0,7725;0,0623
ResNet101+DenseNet169_n_feat;ReliefF;No;250;RBF;0,7714;0,8;0,8235;0,8235;0,8824;0,9118;0,8824;0,9412;0,9706;0,8529;0,866;0,0602
ResNet101+DenseNet169_n_feat;ReliefF;No;250;LinearSVM;0,8;0,8286;0,8824;0,8235;0,8235;0,8824;0,9118;0,8824;0,9412;0,8824;0,8658;0,0426
ResNet101+DenseNet169_n_feat;ReliefF;No;250;MLP;0,7143;0,7429;0,8824;0,8824;0,8235;0,8529;0,8824;0,9118;0,8824;0,7941;0,8369;0,0633
ResNet101+DenseNet169_n_feat;ReliefF;No;250;Logistic;0,7429;0,8286;0,9118;0,8235;0,8235;0,8235;0,8529;0,8529;0,9412;0,8824;0,8483;0,0522
ResNet101+DenseNet169_n_feat;ReliefF;No;250;RandomForest;0,8286;0,8;0,8824;0,9118;0,8235;0,9118;0,9118;0,9412;0,9412;0,9118;0,8864;0,0483
