FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNet+ResNet50_n_feat;PCA;No;100;RBF;0,9143;0,9714;0,9118;0,8529;0,9412;0,9706;0,9118;0,9706;0,8824;1;0,9327;0,0437
ResNet101+DenseNet121;PCA;No;300;Logistic;0,8857;0,8571;0,9706;0,8824;0,9118;0,9412;1;0,9706;0,9412;0,9412;0,9302;0,0429
Xception+ResNet50;Full;No;305152;LinearSVM;0,8857;0,9143;0,9118;0,8824;0,9412;0,9706;0,9118;1;0,9118;0,9706;0,93;0,0371
ResNet101V2;Full;No;100352;Logistic;0,9143;0,8857;0,8824;0,8824;0,9412;0,9412;0,9412;0,9412;0,9706;1;0,93;0,0371
MobileNet+ResNet101;Full;No;150528;LinearSVM;0,8857;0,9143;0,9706;0,8529;0,9412;0,9412;0,9118;1;0,9412;0,9412;0,93;0,0394
EfficientNetB0+MobileNet_n_feat;PCA;No;100;RBF;0,8571;0,9429;0,9412;0,9118;0,9118;0,9706;0,8824;0,9706;0,9118;1;0,93;0,0413
EfficientNetB0+MobileNet_n_feat;PCA;No;200;RBF;0,8571;0,9714;0,9706;0,9118;0,8824;0,9706;0,9118;0,9412;0,9412;0,9412;0,9299;0,0369
MobileNet;Full;No;50176;Logistic;0,8857;0,9714;0,9412;0,8529;0,9118;0,9412;0,8824;0,9706;0,9412;1;0,9298;0,0437
EfficientNetB3;Full;No;153600;LinearSVM;0,9143;0,9429;0,9412;0,8824;0,9412;0,9412;0,9118;0,9412;0,9706;0,9118;0,9298;0,0234
EfficientNetB1;PCA;No;300;Logistic;0,9143;0,9429;0,9118;0,8235;0,9412;1;0,9706;0,9412;0,9412;0,9118;0,9298;0,044
MobileNetV2;PCA;No;20;RBF;0,9429;0,9143;0,9412;0,8235;0,9412;0,9412;0,9118;0,9706;0,9412;0,9706;0,9298;0,0398
MobileNet+ResNet101;PCA;No;300;Logistic;0,9143;0,9429;0,9412;0,8824;0,9118;0,9412;0,9706;0,9412;0,9412;0,9118;0,9298;0,0234
EfficientNetB2;PCA;No;250;Logistic;0,9714;0,9429;0,9706;0,8529;0,8824;0,9706;0,9412;0,8824;0,9412;0,9412;0,9297;0,04
MobileNet;PCA;No;100;RBF;0,9429;0,9429;0,9706;0,7647;0,9118;1;0,9118;1;0,9118;0,9412;0,9297;0,0634
MobileNetV2;PCA;No;50;RBF;0,9429;0,9429;0,9412;0,8235;0,9412;0,9118;0,8824;0,9706;0,9706;0,9706;0,9297;0,0441
MobileNetV2;PCA;No;40;RBF;0,9429;0,9429;0,9412;0,8529;0,9118;0,9118;0,9118;0,9706;0,9706;0,9412;0,9297;0,0329
MobileNet+ResNet50_n_feat;PCA;No;40;RBF;0,9143;0,9714;0,9118;0,8529;0,9118;0,9706;0,9412;0,9412;0,9118;0,9706;0,9297;0,0353
EfficientNetB1;PCA;No;250;Logistic;0,9429;0,8571;0,9412;0,8235;0,9706;0,9118;0,9706;0,9412;0,9412;0,9706;0,9271;0,0473
ResNet101+MobileNetV2;Full;No;163072;Logistic;0,8857;0,9143;0,9706;0,8529;0,9412;0,9118;0,9118;0,9706;0,9412;0,9706;0,9271;0,0373
MobileNet+ResNet101;PCA;No;40;RBF;0,8571;0,9429;0,9118;0,8529;0,9706;0,9412;0,9118;0,9412;0,9412;1;0,9271;0,0435
ResNet101+DenseNet121_n_feat;PCA;No;75;RBF;0,8571;0,9429;0,9118;0,8529;0,9706;0,9706;0,9412;0,9412;0,9118;0,9706;0,9271;0,0415
EfficientNetB0+MobileNet_n_feat;PCA;No;75;RBF;0,8571;0,9143;0,9412;0,8824;0,9118;0,9706;0,8824;0,9706;0,9412;1;0,9271;0,0433
