method,cnn,reduction,classifier,features,Components,acc,f1,roc
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F350,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F400,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F450,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F500,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F550,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F600,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F700,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F800,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F900,nan,nan,nan
Xception_PCA_Adaboost,Xception,PCA,Adaboost,204800.0,F1000,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F2,63.7815,67.6352,62.0853
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F10,76.8067,79.5455,77.4291
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F20,76.8067,77.5252,75.5051
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F30,75.0000,79.3939,75.8153
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F40,73.5294,77.8555,73.2231
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F50,71.0084,76.1363,73.3150
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F75,71.0504,72.4403,71.6320
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F100,68.5714,71.2463,69.8264
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F150,70.5882,68.8578,70.1426
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F200,72.0588,71.1981,71.2790
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F250,70.5882,68.8578,70.1155
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F300,70.5882,69.5102,70.5882
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F350,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F400,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F450,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F500,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F550,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F600,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F700,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F800,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F900,nan,nan,nan
Xception_PCA_Gaussian,Xception,PCA,Gaussian,204800.0,F1000,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F2,73.5294,72.3637,73.3718
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F10,76.4706,77.3504,76.4298
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F20,77.9412,77.9965,77.9412
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F30,76.4706,76.4706,76.4706
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F40,76.8067,77.1242,76.4298
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F50,79.4118,78.8676,79.4629
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F75,77.9412,77.1713,76.8067
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F100,79.7059,78.7879,79.5273
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F150,76.4706,79.9499,76.3035
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F200,79.4118,80.7407,77.4399
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F250,76.8067,78.3626,77.4019
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F300,77.9412,80.7407,78.1223
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F350,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F400,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F450,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F500,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F550,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F600,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F700,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F800,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F900,nan,nan,nan
Xception_UMAP_PCC,Xception,UMAP,PCC,204800.0,F1000,nan,nan,nan
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F2,76.8487,77.2318,77.9305
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F10,73.5294,75.3880,74.3880
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F20,73.5294,75.6044,73.5702
Xception_UMAP_J48,Xception,UMAP,J48,204800.0,F30,76.4706,77.7778,76.3889
