metodo;ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;ACC
ResNet101+DenseNet121_n_feat_ReliefF_300_RBF;ResNet101+DenseNet121_n_feat;ReliefF;RBF;1;150528;No;300;0,771429
ResNet101+DenseNet121_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet121_n_feat;ReliefF;LinearSVM;1;150528;No;300;0,771429
ResNet101+DenseNet121_n_feat_ReliefF_300_MLP;ResNet101+DenseNet121_n_feat;ReliefF;MLP;1;150528;No;300;0,742857
ResNet101+DenseNet121_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet121_n_feat;ReliefF;Logistic;1;150528;No;300;0,828571
ResNet101+DenseNet121_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet121_n_feat;ReliefF;RandomForest;1;150528;No;300;0,857143
ResNet101+DenseNet121_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet121_n_feat;ReliefF;Adaboost;1;150528;No;300;0,828571
ResNet101+DenseNet121_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet121_n_feat;ReliefF;Gaussian;1;150528;No;300;0,8
ResNet101+DenseNet121_n_feat_ReliefF_300_J48;ResNet101+DenseNet121_n_feat;ReliefF;J48;2;150528;No;300;0,771429
ResNet101+DenseNet121_n_feat_ReliefF_300_RBF;ResNet101+DenseNet121_n_feat;ReliefF;RBF;2;150528;No;300;0,8
ResNet101+DenseNet121_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet121_n_feat;ReliefF;LinearSVM;2;150528;No;300;0,8
ResNet101+DenseNet121_n_feat_ReliefF_300_MLP;ResNet101+DenseNet121_n_feat;ReliefF;MLP;2;150528;No;300;0,657143
ResNet101+DenseNet121_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet121_n_feat;ReliefF;Logistic;2;150528;No;300;0,771429
ResNet101+DenseNet121_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet121_n_feat;ReliefF;RandomForest;2;150528;No;300;0,8
ResNet101+DenseNet121_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet121_n_feat;ReliefF;Adaboost;2;150528;No;300;0,8
ResNet101+DenseNet121_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet121_n_feat;ReliefF;Gaussian;2;150528;No;300;0,8
ResNet101+DenseNet121_n_feat_ReliefF_300_J48;ResNet101+DenseNet121_n_feat;ReliefF;J48;3;150528;No;300;0,794118
ResNet101+DenseNet121_n_feat_ReliefF_300_RBF;ResNet101+DenseNet121_n_feat;ReliefF;RBF;3;150528;No;300;0,852941
ResNet101+DenseNet121_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet121_n_feat;ReliefF;LinearSVM;3;150528;No;300;0,882353
ResNet101+DenseNet121_n_feat_ReliefF_300_MLP;ResNet101+DenseNet121_n_feat;ReliefF;MLP;3;150528;No;300;0,823529
ResNet101+DenseNet121_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet121_n_feat;ReliefF;Logistic;3;150528;No;300;0,852941
