FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
ResNet101+DenseNet121_n_feat,ReliefF,No,250,Logistic,0.8485,0.6923,0.8485,0.8372,0.8824,0.8824,0.8333,0.8235,0.9048,0.8421,0.8395,0.0548
ResNet101+DenseNet121_n_feat,ReliefF,No,250,RandomForest,0.8000,0.7407,0.8235,0.9302,0.8571,0.9143,0.9444,0.9714,0.9545,0.8571,0.8793,0.0720
ResNet101+DenseNet121_n_feat,ReliefF,No,250,Adaboost,0.8000,0.7692,0.8571,0.8837,0.7742,0.8333,0.8889,0.8824,0.9048,0.8649,0.8458,0.0467
ResNet101+DenseNet121_n_feat,ReliefF,No,250,Gaussian,0.7143,0.7200,0.8000,0.9000,0.7742,0.8824,0.9091,0.8000,0.7429,0.7778,0.8021,0.0684
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,PCC,0.5926,0.6875,0.7429,0.8649,0.8889,0.8649,0.8485,0.8235,0.8750,0.8889,0.8077,0.0954
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,J48,0.7273,0.7143,0.8750,0.8636,0.7273,0.7647,0.8000,0.8889,0.8182,0.7778,0.7957,0.0611
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,RBF,0.8125,0.7586,0.9091,0.8571,0.9091,0.9143,0.9143,0.9143,0.9333,0.8947,0.8817,0.0530
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,LinearSVM,0.8750,0.7333,0.9032,0.8636,0.8750,0.9143,0.8750,0.8947,0.9130,0.8649,0.8712,0.0493
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,MLP,0.8571,0.7742,0.9444,0.8696,0.8235,0.8333,0.8889,0.8421,0.9767,0.8500,0.8660,0.0558
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,Logistic,1.0000,0.7097,0.9032,0.8636,0.8750,0.9091,0.8485,0.8649,0.9333,0.8649,0.8772,0.0702
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,RandomForest,0.8387,0.8148,0.8571,0.9302,0.8571,0.8889,0.9444,0.9143,0.9333,0.9444,0.8923,0.0452
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,Adaboost,0.7742,0.6667,0.9091,0.8889,0.9091,0.8235,0.8485,0.8485,0.9333,0.8235,0.8425,0.0746
ResNet101+MobileNetV2_n_feat,ReliefF,No,250,Gaussian,0.7143,0.8000,0.9032,0.9000,0.8276,0.7333,0.8750,0.8000,0.7429,0.8485,0.8145,0.0651
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,PCC,0.5926,0.5926,0.7879,0.7368,0.6250,0.6471,0.7059,0.6667,0.7805,0.6857,0.6821,0.0672
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,J48,0.7879,0.5806,0.8108,0.8293,0.7647,0.6667,0.8000,0.7222,0.8837,0.8947,0.7741,0.0914
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,RBF,0.8125,0.9231,0.9375,0.9302,0.8824,0.9143,0.9189,0.8947,0.9302,0.9444,0.9088,0.0368
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,LinearSVM,0.8387,0.9231,0.9091,0.9302,0.8000,0.8824,0.9189,0.8947,0.9778,0.9474,0.9022,0.0492
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,MLP,0.8125,0.9231,0.9091,0.8837,0.8125,0.8485,0.8333,0.9143,1.0000,0.8947,0.8832,0.0554
EfficientNetB0+MobileNet_n_feat,ReliefF,No,250,Logistic,0.8000,0.9231,0.9091,0.9091,0.8235,0.8824,0.8947,0.8947,0.9778,0.9730,0.8987,0.0532
