FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNet+ResNet101;ReliefF;No;10;RBF;0,8286;0,7429;0,7647;0,8529;0,7941;0,8235;0,9118;0,8529;0,8235;0,7647;0,816;0,0482
MobileNet+ResNet101;ReliefF;No;10;LinearSVM;0,8;0,6857;0,7353;0,7941;0,8235;0,7941;0,8529;0,7941;0,8235;0,7941;0,7897;0,045
MobileNet+ResNet101;ReliefF;No;10;MLP;0,6857;0,7714;0,7059;0,7353;0,7647;0,7647;0,7941;0,7353;0,7941;0,7647;0,7516;0,0339
MobileNet+ResNet101;ReliefF;No;10;Logistic;0,8;0,7143;0,7353;0,7647;0,8235;0,7941;0,8529;0,7941;0,7941;0,7647;0,7838;0,0385
MobileNet+ResNet101;ReliefF;No;10;RandomForest;0,7714;0,7143;0,7941;0,8235;0,7941;0,7941;0,8529;0,8235;0,7941;0,7941;0,7956;0,0347
MobileNet+ResNet101;ReliefF;No;10;Adaboost;0,7714;0,6571;0,8235;0,9118;0,7941;0,7941;0,8824;0,7647;0,8235;0,7941;0,8017;0,0655
MobileNet+ResNet101;ReliefF;No;10;Gaussian;0,8;0,6857;0,7647;0,7941;0,8235;0,7941;0,8235;0,8824;0,7941;0,7647;0,7927;0,048
ResNet101+DenseNet169;ReliefF;No;10;J48;0,6857;0,6857;0,7059;0,8529;0,7647;0,7059;0,7941;0,8235;0,7647;0,8529;0,7636;0,0627
ResNet101+DenseNet169;ReliefF;No;10;RBF;0,8286;0,7429;0,7353;0,8529;0,8235;0,8824;0,8824;0,8529;0,7941;0,7941;0,8189;0,0495
ResNet101+DenseNet169;ReliefF;No;10;LinearSVM;0,8;0,6857;0,7647;0,8235;0,8824;0,8824;0,8824;0,8824;0,7647;0,7941;0,8162;0,0637
ResNet101+DenseNet169;ReliefF;No;10;MLP;0,7143;0,7714;0,7059;0,8529;0,8235;0,7353;0,9118;0,7941;0,8529;0,7941;0,7956;0,063
ResNet101+DenseNet169;ReliefF;No;10;Logistic;0,7714;0,7143;0,7353;0,7647;0,8529;0,8529;0,8824;0,8824;0,7941;0,8529;0,8103;0,0588
ResNet101+DenseNet169;ReliefF;No;10;RandomForest;0,7714;0,7429;0,8235;0,8235;0,7941;0,7941;0,9118;0,8824;0,8235;0,8529;0,822;0,048
ResNet101+DenseNet169;ReliefF;No;10;Adaboost;0,6857;0,6571;0,7647;0,8529;0,7941;0,9118;0,8529;0,8824;0,8529;0,7647;0,8019;0,0798
ResNet101+DenseNet169;ReliefF;No;10;Gaussian;0,7143;0,6857;0,7647;0,7647;0,8529;0,8529;0,8824;0,8529;0,7941;0,8235;0,7988;0,0622
ResNet101+DenseNet121;ReliefF;No;10;J48;0,6571;0,6571;0,6765;0,7941;0,7647;0,8824;0,8235;0,7353;0,7059;0,9118;0,7608;0,0865
ResNet101+DenseNet121;ReliefF;No;10;RBF;0,8286;0,7143;0,7647;0,8529;0,8235;0,8824;0,8824;0,8529;0,8235;0,7941;0,8219;0,0499
ResNet101+DenseNet121;ReliefF;No;10;LinearSVM;0,8;0,7429;0,7647;0,8235;0,8824;0,8824;0,8824;0,8824;0,8235;0,7941;0,8278;0,05
ResNet101+DenseNet121;ReliefF;No;10;MLP;0,8;0,7714;0,7059;0,8529;0,7941;0,8235;0,8529;0,7647;0,8235;0,8235;0,8013;0,0427
ResNet101+DenseNet121;ReliefF;No;10;Logistic;0,7714;0,7429;0,7353;0,7941;0,8529;0,8824;0,8824;0,8824;0,8529;0,8529;0,825;0,0555
ResNet101+DenseNet121;ReliefF;No;10;RandomForest;0,8;0,7143;0,7941;0,8235;0,7941;0,8529;0,9118;0,7941;0,8235;0,8529;0,8161;0,049
ResNet101+DenseNet121;ReliefF;No;10;Adaboost;0,6857;0,6571;0,7353;0,7353;0,7941;0,9118;0,8529;0,8824;0,8235;0,7647;0,7843;0,0796
ResNet101+DenseNet121;ReliefF;No;10;Gaussian;0,7143;0,7429;0,7647;0,7941;0,8529;0,8824;0,8824;0,8529;0,8235;0,8235;0,8134;0,0551
ResNet101+MobileNetV2;ReliefF;No;10;J48;0,6571;0,6286;0,6765;0,7647;0,6765;0,7941;0,8235;0,7647;0,8235;0,8235;0,7433;0,0723
ResNet101+MobileNetV2;ReliefF;No;10;RBF;0,8286;0,7429;0,7647;0,8529;0,8235;0,8235;0,9118;0,8529;0,8824;0,8235;0,8307;0,0474
ResNet101+MobileNetV2;ReliefF;No;10;LinearSVM;0,8;0,6857;0,7059;0,7941;0,8824;0,8235;0,9118;0,8529;0,8529;0,7941;0,8103;0,0681
